Index,main_speaker,title,details,posted,url,
1468,David Titley,How the military fights climate change,"Military leaders have known for millennia that the time to prepare for a challenge is before it hits you, says scientist and retired US Navy officer David Titley. He takes us from the humanitarian catastrophe in Syria to the icy shores of Svalbard to show how the military approaches the threat of climate change, in a refreshingly practical, nonpartisan take on climate preparedness. ""The ice doesn't care who's in the White House. It doesn't care which party controls your congress. It doesn't care which party controls your parliament,"" Titley says. ""It just melts.""",Posted Nov 2017,https://www.ted.com/talks/david_titley_how_the_military_fights_climate_change,
1469,Lloyd Pendleton,The Housing First approach to homelessness,What do you think would happen if you invited an individual with mental health issues who had been homeless for many years to move directly from the street into housing? Loyd Pendleton shares how he went from skeptic to believer in the Housing First approach to homelessness -- providing the displaced with short-term assistance to find permanent housing quickly and without conditions -- and how it led to a 91 percent reduction in chronic homelessness over a ten-year period in Utah.,Posted Nov 2017,https://www.ted.com/talks/lloyd_pendleton_the_housing_first_approach_to_homelessness,
1470,Jackson Bird,How to talk (and listen) to transgender people,"Gender should be the least remarkable thing about someone, but transgender people are still too often misunderstood. To help those who are scared to ask questions or nervous about saying the wrong thing, Jackson Bird shares a few ways to think about trans issues. And in this funny, frank talk, he clears up a few misconceptions about pronouns, transitioning, bathrooms and more.",Posted Nov 2017,https://www.ted.com/talks/jackson_bird_how_to_talk_and_listen_to_transgender_people,
1471,Teresa Njoroge,What I learned serving time for a crime I didn't commit,"In 2011, Teresa Njoroge was convicted of a financial crime she didn't commit -- the result of a long string of false accusations, increasing bribe attempts and the corrupt justice system in her home in Kenya. Once incarcerated, she discovered that most of the women and girls locked up with her were also victims of the same broken system, caught in a revolving door of life in and out of prison due to poor education and lack of economic opportunity. Now free and cleared by the courts of appeal, Njoroge shares how she's giving women in prison the skills, tools and support they need to break the cycle of poverty and crime and build a better life.",Posted Nov 2017,https://www.ted.com/talks/teresa_njoroge_what_i_learned_serving_time_for_a_crime_i_didn_t_commit,
1472,Lana Yarosh,How technology can reconnect parents and kids,"When children are separated from their parents -- whether due to migration, custody changes, incarceration or any number of other factors -- how can families maintain connection? Computer scientist Lana Yarosh showcases why it's important to design technology that empowers people to share meaningful interactions beyond a video chat or phone call, granting them the chance to reconnect despite life's big disruptions.",Posted Nov 2017,https://www.ted.com/talks/lana_yarosh_how_technology_can_reconnect_parents_and_kids,
1473,Victoria Pratt,How judges can show respect,"In halls of justice around the world, how can we ensure everyone is treated with dignity and respect? A pioneering judge in New Jersey, Victoria Pratt shares her principles of ""procedural justice"" -- four simple, thoughtful steps that redefined the everyday business of her courtroom in Newark, changing lives along the way. ""When the court behaves differently, naturally people respond differently,"" Pratt says. ""We want people to enter our halls of justice ... and know that justice will be served there.""",Posted Nov 2017,https://www.ted.com/talks/victoria_pratt_how_judges_can_show_respect,
1474,Robert Muggah,The biggest risks facing cities — and some solutions,"With fantastic new maps that show interactive, visual representations of urban fragility, Robert Muggah articulates an ancient but resurging idea: cities shouldn't just be the center of economics -- they should also be the foundation of our political lives. Looking around the world, from Syria to Singapore to Seoul and beyond, Muggah submits six principles for how we can build more resilient cities. ""Cities are where the future happens first. They're open, creative, dynamic, democratic, cosmopolitan, sexy,"" Muggah says. ""They're the perfect antidote to reactionary nationalism.""",Posted Nov 2017,https://www.ted.com/talks/robert_muggah_the_biggest_risks_facing_cities_and_some_solutions,
1475,Jon Bowers,We should aim for perfection — and stop fearing failure,"Sometimes trying your best isn't enough; when the situation demands it, you need to be perfect. For Jon Bowers, who runs a training facility for professional delivery drivers, the stakes are high -- 100 people in the US die every day in car accidents -- and it's perfection, or ""a willingness to do what is difficult to achieve what is right,"" that he looks to achieve. He explains why we should all be equally diligent about striving toward perfection in everything we do, even if it means failing along the way.",Posted Nov 2017,https://www.ted.com/talks/jon_bowers_we_should_aim_for_perfection_and_stop_fearing_failure,
1476,David Dunning,Why incompetent people think they're amazing,"How good are you with money? What about reading people's emotions? How healthy are you, compared to other people you know? Knowing how our skills stack up against others is useful in many ways. But psychological research suggests that we're not very good at evaluating ourselves accurately. In fact, we frequently overestimate our own abilities. David Dunning describes the Dunning-Kruger effect. [Directed by Wednesday Studio, narrated by Addison Anderson, music by Tom Drew].",Posted Nov 2017,https://www.ted.com/talks/david_dunning_why_incompetent_people_think_they_re_amazing,
1477,Jessica McCabe,This is what it's really like to live with ADHD,"At 32, Jessica McCabe's ADHD brought her to the darkest point of her life thus far. At 34, she was thriving both personally and professionally, producing a successful Youtube channel about living with ADHD. In this deeply personal talk, Jessica describes how she turned things around through community and education. ",Posted Nov 2017,https://www.ted.com/talks/jessica_mccabe_this_is_what_it_s_really_like_to_live_with_adhd_jan_2017,
1478,Ameenah Gurib-Fakim and Stephanie Busari,An interview with Mauritius's first female president,"(NOTE: Ameenah Gurib-Fakim stepped down as president of Mauritius in March 2018, following accusations that she misused a credit card given to her by a nonprofit. Read ""Criticisms &amp; Updates"" below for more details.) Ameenah Gurib-Fakim was an academic and entrepreneur before being appointed president of Mauritius -- the first Muslim female head of state in Africa. In a wide-ranging conversation with journalist Stephanie Busari, Gurib-Fakim discusses the humble beginnings of her political career, what it's like to be both a person of faith and a scientist and why we need to value traditional African knowledge, among much more. ""I don't think you should take yourself seriously,"" she says. ""You need to have trust in what you can do, have confidence in yourself and give yourself a set of goals and just work towards them.""",Posted Nov 2017,https://www.ted.com/talks/ameenah_gurib_fakim_and_stephanie_busari_an_interview_with_mauritius_s_first_female_president,
